mort_adulte,age,poids,v021,v106,v190,v024,v501,v130,v463a,v113,v116
0,36.0,0.990064,1.0,2.0,2.0,5.0,1.0,1.0,0.0,12.0,23.0
0,15.0,0.990064,1.0,0.0,2.0,5.0,5.0,1.0,0.0,12.0,23.0
0,20.0,0.990064,1.0,2.0,4.0,5.0,1.0,4.0,0.0,14.0,22.0
0,18.0,0.990064,1.0,1.0,4.0,5.0,0.0,4.0,0.0,14.0,22.0
0,21.0,0.990064,1.0,0.0,3.0,5.0,1.0,4.0,0.0,21.0,22.0
0,27.0,0.990064,1.0,1.0,3.0,5.0,1.0,4.0,0.0,21.0,22.0
0,32.0,0.990064,1.0,1.0,3.0,5.0,1.0,2.0,0.0,14.0,22.0
0,50.0,0.990064,1.0,0.0,3.0,5.0,1.0,4.0,0.0,14.0,23.0
0,23.0,0.990064,1.0,1.0,2.0,5.0,1.0,4.0,0.0,21.0,23.0
0,38.0,0.990064,1.0,1.0,2.0,5.0,1.0,1.0,0.0,13.0,31.0
0,57.0,0.990064,1.0,0.0,2.0,5.0,1.0,4.0,0.0,21.0,23.0
0,55.0,0.990064,1.0,1.0,3.0,5.0,1.0,2.0,0.0,21.0,23.0
0,36.0,0.990064,1.0,1.0,3.0,5.0,0.0,1.0,0.0,21.0,23.0
0,35.0,0.990064,1.0,1.0,3.0,5.0,1.0,4.0,0.0,14.0,22.0
0,67.0,0.990064,1.0,1.0,3.0,5.0,1.0,1.0,0.0,13.0,23.0
0,37.0,0.990064,1.0,0.0,3.0,5.0,1.0,4.0,0.0,14.0,23.0
0,24.0,0.990064,1.0,1.0,4.0,5.0,1.0,4.0,0.0,21.0,22.0
0,40.0,0.990064,1.0,1.0,3.0,5.0,4.0,2.0,0.0,14.0,23.0
0,21.0,0.990064,1.0,1.0,2.0,5.0,1.0,4.0,0.0,21.0,22.0
0,42.0,0.990064,1.0,0.0,2.0,5.0,1.0,4.0,0.0,14.0,23.0
0,13.0,0.990064,1.0,0.0,2.0,5.0,0.0,4.0,0.0,14.0,23.0
0,27.0,0.990064,1.0,1.0,2.0,5.0,1.0,1.0,0.0,21.0,23.0
0,40.0,0.990064,1.0,0.0,3.0,5.0,1.0,5.0,0.0,14.0,22.0
0,50.0,0.456452,2.0,1.0,3.0,4.0,1.0,1.0,0.0,42.0,22.0
0,24.0,0.456452,2.0,2.0,3.0,4.0,0.0,1.0,0.0,42.0,22.0
0,50.0,0.456452,2.0,1.0,3.0,4.0,5.0,1.0,0.0,97.0,97.0
0,25.0,0.456452,2.0,1.0,2.0,4.0,2.0,2.0,0.0,42.0,23.0
0,26.0,0.456452,2.0,3.0,5.0,4.0,0.0,2.0,0.0,97.0,97.0
0,17.0,0.456452,2.0,3.0,5.0,4.0,0.0,2.0,0.0,97.0,97.0
0,50.0,0.456452,2.0,1.0,2.0,4.0,2.0,1.0,0.0,42.0,23.0
0,19.0,0.456452,2.0,1.0,1.0,4.0,5.0,2.0,0.0,42.0,23.0
0,51.0,0.456452,2.0,1.0,3.0,4.0,1.0,1.0,0.0,42.0,22.0
0,33.0,0.456452,2.0,2.0,3.0,4.0,2.0,1.0,0.0,42.0,22.0
0,27.0,0.456452,2.0,1.0,2.0,4.0,2.0,2.0,0.0,97.0,97.0
